citizenid,employment_status,annual_income
12605,Government Job,27801.09
77861,Private Job,40589.66
21248,Self-Employed,40851.62
49547,Private Job,50826.24
79556,Private Job,81324.08
52647,Self-Employed,64809.88
67873,Private Job,129504.43
50855,Private Job,32407.43
20154,Government Job,75316.75
67862,Private Job,63419.92
19979,Private Job,25985.41
82052,Private Job,81032.78
25397,Self-Employed,27893.61
22165,Self-Employed,106966.17
47642,Government Job,62206.6
78845,Private Job,61651.11
97746,Self-Employed,62136.63
79010,Private Job,76744.79
43232,Private Job,32542.03
83872,Private Job,57614.98
35421,Self-Employed,59989.87
17969,Government Job,49257.74
31247,Private Job,57212.46
14859,Private Job,55557.59
44870,Self-Employed,71297.57
29587,Private Job,33899.38
64191,Self-Employed,26804.97
91791,Private Job,81820.99
91610,Private Job,44132.39
43212,Private Job,73295.7
28619,Private Job,44504.02
96109,Self-Employed,25240.58
32899,Private Job,38151.17
30415,Government Job,31431.84
89161,Private Job,75187.16
96343,Private Job,35418.24
67215,Private Job,85614.7
79560,Private Job,62374.78
47600,Self-Employed,44698.11
91299,Private Job,55790.87
94990,Private Job,83664.37
57479,Private Job,63805.1
63708,Private Job,70970.84
37859,Private Job,55118.12
79657,Self-Employed,57497.44
43283,Private Job,85019.05
57919,Private Job,61873.01
97339,Private Job,58057.25
69277,Self-Employed,78279.32
22925,Private Job,52401.42
23464,Private Job,53890.97
51413,Private Job,68322.6
64965,Private Job,105949.34
42497,Private Job,34748.69
69898,Private Job,32942.71
50137,Government Job,62718.34
76507,Private Job,36190.55
27079,Self-Employed,141751.24
16232,Private Job,51567.1
66471,Private Job,74071.32
45605,Private Job,43907.27
32721,Private Job,70279.68
33615,Government Job,44998.57
93479,Private Job,27425.55
55495,Private Job,30590.6
32950,Private Job,51465.9
24791,Self-Employed,44391.16
23811,Private Job,96111.69
18663,Self-Employed,53606.07
46179,Private Job,56907.85
31668,Private Job,82504.21
18665,Private Job,53801.89
20216,Private Job,77306.02
97956,Private Job,76892.6
58660,Private Job,79133.93
45722,Self-Employed,57813.73
57262,Self-Employed,42456.61
27987,Government Job,72961.36
86071,Private Job,44683.54
29415,Private Job,79642.72
21530,Private Job,31395.67
68042,Government Job,66367.47
59624,Self-Employed,54358.24
75991,Private Job,62031.71
86133,Private Job,31784.75
87423,Private Job,84248.75
79438,Private Job,68580.93
19981,Private Job,42389.88
52532,Private Job,79259.04
65787,Government Job,52623.46
72426,Private Job,36349.53
99163,Private Job,51267.84
79063,Self-Employed,44478.43
10436,Private Job,68213.92
66923,Private Job,26297.17
43987,Private Job,78691.45
30094,Private Job,51372.66
49317,Private Job,31889.08
96330,Self-Employed,71839.83
15604,Private Job,85286.46
97556,Private Job,80066.76
91143,Private Job,35046.96
65732,Private Job,38213.21
80126,Self-Employed,85249.25
94488,Self-Employed,37367.67
80941,Private Job,43403.19
44937,Government Job,62993.04
27539,Private Job,42772.52
94538,Self-Employed,48263.35
37537,Private Job,70217.63
19985,Self-Employed,61192.02
11380,Government Job,74418.78
77944,Private Job,72304.37
57179,Private Job,73755.49
76389,Self-Employed,35847.37
70191,Self-Employed,40673.82
15330,Private Job,36136.82
52102,Government Job,32480.57
74677,Private Job,76867.36
29366,Private Job,25233.02
27009,Private Job,63278.34
15102,Private Job,78245.85
28072,Self-Employed,35217.25
67447,Private Job,81829.93
16468,Self-Employed,83406.01
74970,Private Job,109348.87
28454,Private Job,60428.85
85798,Private Job,65694.99
47954,Private Job,36384.41
90661,Private Job,85032.7
98954,Private Job,70107.56
71316,Private Job,56489.33
44438,Private Job,55559.74
25809,Private Job,62696.68
55932,Private Job,36357.79
69480,Self-Employed,61418.06
52163,Self-Employed,29264.95
67475,Private Job,61892.54
63180,Private Job,60057.99
51336,Private Job,46812.66
20530,Self-Employed,30506.27
58571,Private Job,58558.53
91277,Private Job,51687.16
49092,Private Job,44055.4
61053,Private Job,51108.62
99747,Private Job,28716.35
80396,Government Job,30199.55
29458,Private Job,1677.09
42783,Private Job,33804.02
49003,Private Job,58759.83
64049,Private Job,42269.68
74790,Self-Employed,39342.0
53538,Private Job,63459.64
17770,Self-Employed,61406.83
18600,Private Job,45632.32
75498,Private Job,82168.44
66676,Self-Employed,49288.79
95589,Private Job,36562.32
31543,Self-Employed,79214.19
87193,Private Job,67830.14
63215,Self-Employed,70682.73
22393,Private Job,76786.84
43261,Private Job,73567.31
31769,Government Job,76714.54
42880,Self-Employed,38887.43
91236,Self-Employed,62564.26
37101,Self-Employed,66217.86
55453,Self-Employed,42854.84
99532,Private Job,85651.18
43019,Private Job,74242.97
41366,Private Job,80792.33
83454,Private Job,34277.96
61327,Private Job,27301.18
48190,Private Job,26744.32
12844,Private Job,77869.24
51659,Private Job,58330.69
28053,Private Job,43770.56
33890,Private Job,74140.22
24215,Private Job,64287.62
19405,Government Job,62766.89
22633,Government Job,73652.4
52411,Private Job,53620.36
10628,Private Job,34867.58
41931,Private Job,80974.73
19296,Private Job,77781.28
41338,Private Job,40166.52
78277,Private Job,45061.19
56273,Private Job,75028.59
30591,Private Job,84306.56
10672,Self-Employed,72301.77
66650,Self-Employed,28193.72
72729,Private Job,49906.52
93569,Private Job,72340.77
76074,Private Job,53425.34
56547,Private Job,66229.63
67409,Self-Employed,27217.36
51331,Private Job,37909.96
90289,Government Job,71302.19
99057,Private Job,89858.08
14568,Self-Employed,36746.26
20848,Private Job,84243.57
54762,Government Job,47368.98
59345,Private Job,36849.01
16166,Private Job,36854.38
16738,Private Job,158016.68
35478,Private Job,35679.44
20290,Self-Employed,46193.76
47578,Self-Employed,60478.15
24346,Self-Employed,78871.22
85074,Private Job,81944.5
63864,Self-Employed,61592.27
54554,Private Job,63601.46
29108,Private Job,56777.53
48603,Private Job,45538.07
33476,Private Job,57571.14
40948,Private Job,177764.22
14175,Private Job,35095.14
78415,Private Job,44690.36
38382,Self-Employed,37172.49
16478,Private Job,76229.26
89799,Private Job,110986.71
13112,Private Job,34944.14
82096,Private Job,70563.25
13377,Private Job,29049.51
44394,Private Job,65242.77
53378,Private Job,71701.59
62988,Private Job,31136.08
52545,Private Job,72093.42
92257,Self-Employed,60741.56
69154,Private Job,66855.61
71057,Private Job,69119.28
74302,Self-Employed,34956.11
56942,Private Job,73672.8
63169,Private Job,72693.16
57805,Self-Employed,64457.3
24704,Private Job,55788.8
22732,Private Job,76844.32
14656,Private Job,78722.31
64358,Private Job,45422.67
35054,Private Job,57506.62
52655,Private Job,52439.21
87970,Private Job,50934.96
84873,Private Job,75499.54
49684,Private Job,65476.54
36329,Private Job,53907.83
75192,Private Job,73098.04
16404,Private Job,82529.58
81847,Private Job,49868.38
26787,Self-Employed,33259.55
82387,Private Job,81107.48
15034,Private Job,83398.83
13711,Private Job,129665.21
89935,Private Job,49955.63
61522,Self-Employed,64552.59
37953,Private Job,30518.75
31568,Self-Employed,27833.63
79977,Private Job,30760.7
33272,Government Job,72242.27
92501,Private Job,53001.59
48340,Self-Employed,64978.75
66691,Private Job,58830.69
16448,Private Job,36824.84
44517,Private Job,74674.53
35891,Private Job,38065.91
28483,Self-Employed,36120.5
49953,Private Job,62686.23
81029,Private Job,78025.09
78300,Government Job,77835.34
84551,Private Job,51745.13
26841,Self-Employed,66813.15
17515,Government Job,75345.37
99346,Private Job,38191.37
61639,Self-Employed,49091.84
98659,Private Job,63636.77
57555,Private Job,76206.74
26111,Private Job,45496.13
96741,Private Job,62898.0
51171,Government Job,28572.05
57538,Self-Employed,81883.09
16702,Private Job,79655.8
53785,Private Job,81250.96
57171,Self-Employed,84065.16
22078,Private Job,76587.26
29536,Private Job,37867.96
38420,Private Job,60455.64
34781,Self-Employed,35965.96
58019,Private Job,127092.48
17389,Government Job,26249.16
44041,Self-Employed,33744.34
61309,Private Job,76349.1
90480,Private Job,70365.53
72246,Self-Employed,71352.12
70665,Private Job,49759.71
73934,Government Job,26635.5
11253,Self-Employed,44384.28
41465,Private Job,52765.2
66617,Government Job,46843.21
96125,Self-Employed,55581.05
43252,Self-Employed,62349.65
28552,Private Job,136916.55
80071,Private Job,32202.71
72056,Private Job,80380.14
84088,Private Job,59161.56
12685,Private Job,77224.01
38316,Government Job,53939.74
64561,Private Job,121260.15
59129,Private Job,98430.29
21980,Private Job,69611.84
13522,Government Job,79602.48
20212,Private Job,61666.17
73466,Private Job,49933.48
76987,Private Job,60124.62
70744,Government Job,35180.88
66829,Private Job,109336.25
54519,Private Job,67849.08
75366,Self-Employed,27282.34
85007,Government Job,160913.63
85647,Self-Employed,52600.56
20221,Private Job,58303.39
73200,Private Job,49560.35
87190,Self-Employed,54454.11
72565,Private Job,35718.76
28178,Government Job,29768.12
87326,Private Job,52032.24
55843,Private Job,81959.45
73491,Private Job,142214.41
43740,Private Job,35967.39
50556,Private Job,42272.72
93648,Private Job,78621.54
71955,Self-Employed,41317.16
14282,Private Job,48528.28
53373,Private Job,31208.67
39659,Self-Employed,27844.9
22484,Private Job,65285.36
30072,Private Job,34079.09
25666,Government Job,59073.16
71175,Private Job,51243.89
95124,Government Job,30755.21
92739,Government Job,51163.66
34289,Self-Employed,40140.06
49911,Private Job,92480.23
42896,Private Job,77366.46
43692,Private Job,41036.49
67050,Private Job,67615.35
90773,Self-Employed,66763.71
66566,Private Job,36783.37
62935,Private Job,58897.2
55251,Self-Employed,76324.74
26048,Private Job,31123.65
19883,Private Job,62243.14
70753,Private Job,35343.59
20424,Self-Employed,39688.22
64505,Private Job,64546.54
80577,Self-Employed,63926.39
20843,Private Job,65541.42
30747,Government Job,58098.73
66076,Self-Employed,72818.04
48042,Private Job,64552.86
55518,Private Job,38014.12
13620,Private Job,31183.7
98246,Government Job,25622.78
20054,Private Job,25427.06
58310,Private Job,31486.57
10267,Private Job,51487.87
47865,Private Job,25357.54
70741,Private Job,48342.42
10383,Private Job,72414.28
16091,Private Job,32838.7
14624,Self-Employed,73063.17
53592,Private Job,36591.02
13310,Private Job,38913.8
49450,Self-Employed,39885.37
47604,Government Job,44750.61
87304,Self-Employed,55566.99
72432,Private Job,66518.7
84395,Private Job,72339.05
35815,Private Job,26317.82
20766,Government Job,33875.31
99423,Private Job,70647.36
16396,Private Job,72118.52
55504,Private Job,82605.64
72007,Private Job,42759.3
79559,Private Job,38748.86
84422,Private Job,59999.29
95139,Private Job,29805.85
20947,Private Job,69239.65
85534,Self-Employed,54170.12
93391,Government Job,68312.79
92900,Self-Employed,34676.35
88713,Government Job,53354.65
91054,Private Job,46058.5
11830,Private Job,53753.27
64529,Private Job,59035.64
18751,Private Job,66762.18
35195,Private Job,2550662.41
11900,Private Job,77874.06
48356,Private Job,39212.51
83929,Private Job,51039.15
45492,Private Job,31900.77
28629,Private Job,106339.94
51550,Self-Employed,45385.17
11118,Private Job,48176.19
16598,Private Job,51920.38
96507,Private Job,81538.1
66940,Private Job,80505.38
22757,Private Job,29214.33
43829,Private Job,50245.14
73297,Private Job,44523.36
23076,Private Job,47026.7
29669,Self-Employed,70785.52
72153,Self-Employed,37030.26
55247,Private Job,71105.96
89688,Private Job,80941.73
21712,Government Job,67319.85
13615,Private Job,50101.37
25752,Private Job,28820.74
87619,Private Job,31349.53
16148,Self-Employed,1144020.23
81692,Private Job,68607.55
26750,Private Job,123609.72
28106,Government Job,31926.04
46722,Private Job,50270.18
75157,Private Job,78163.92
64939,Self-Employed,57703.73
42147,Private Job,45543.26
17144,Private Job,39086.49
35984,Private Job,146738.37
62467,Private Job,57942.0
19590,Private Job,45748.28
11078,Private Job,83494.57
19489,Private Job,25824.87
26635,Self-Employed,82660.34
47497,Private Job,37890.15
21373,Private Job,60027.32
50534,Private Job,41086.66
77731,Government Job,74867.8
79083,Private Job,67643.24
77098,Private Job,39295.03
92841,Private Job,59460.0
69354,Private Job,80424.39
85299,Private Job,38665.71
25056,Self-Employed,74643.92
35173,Private Job,73371.28
20881,Private Job,48353.87
68094,Private Job,12790.72
35087,Self-Employed,27339.05
19506,Private Job,35182.65
49707,Private Job,53916.77
39772,Private Job,53707.21
92451,Private Job,31452.97
63660,Private Job,42495.83
49663,Private Job,48048.8
92221,Private Job,74817.12
78023,Private Job,79797.62
81806,Private Job,61815.98
72760,Private Job,41695.5
42416,Private Job,66825.07
91488,Government Job,82624.93
42409,Self-Employed,31715.5
84457,Self-Employed,42130.21
35077,Self-Employed,58355.42
11638,Private Job,45804.49
62128,Government Job,77728.52
48242,Private Job,40946.21
56808,Private Job,78855.93
41681,Private Job,75786.69
86822,Private Job,35252.44
26286,Government Job,30736.66
74439,Private Job,66293.3
42410,Private Job,49356.27
82527,Self-Employed,39170.85
73484,Private Job,80813.03
35865,Private Job,30408.44
84886,Self-Employed,75692.73
43285,Private Job,59238.43
74282,Private Job,32439.37
61665,Private Job,47880.61
44970,Private Job,57596.2
68459,Self-Employed,35509.81
15995,Private Job,32789.77
77246,Private Job,41648.34
97684,Private Job,159789.06
12279,Private Job,59227.21
91197,Self-Employed,72092.16
67188,Private Job,140908.18
56256,Private Job,83663.18
22481,Private Job,34050.66
32255,Private Job,25522.11
92497,Self-Employed,84894.57
41482,Private Job,33362.54
19555,Private Job,70870.91
34380,Private Job,72191.35
77101,Government Job,30147.38
31783,Private Job,170543.09
44035,Self-Employed,74487.73
19772,Private Job,161671.66
57434,Self-Employed,40222.51
46503,Private Job,73393.83
95036,Private Job,44430.02
76264,Private Job,70783.07
16759,Private Job,76242.76
68240,Self-Employed,25269.16
40098,Government Job,56918.23
67685,Private Job,45857.3
42829,Private Job,76476.96
11325,Private Job,54448.27
15146,Government Job,48320.66
70406,Private Job,130789.14
67311,Private Job,34011.8
88802,Private Job,42271.27
52149,Private Job,85635.84
54904,Private Job,77256.88
39642,Private Job,43696.7
44273,Private Job,62699.28
13335,Self-Employed,85871.13
64924,Private Job,67039.24
56952,Private Job,154532.93
64950,Private Job,45673.07
98348,Government Job,27473.37
56106,Private Job,73755.68
42633,Private Job,42416.13
89903,Private Job,33765.19
62808,Private Job,32035.34
95481,Private Job,31535.44
96326,Self-Employed,31951.1
10323,Self-Employed,56472.36
34628,Private Job,71577.76
95105,Private Job,79455.44
21702,Self-Employed,66850.83
40165,Private Job,30835.54
92719,Self-Employed,82773.07
82990,Private Job,25349.63
45818,Self-Employed,70891.78
41948,Government Job,84923.54
31146,Self-Employed,79555.19
20741,Private Job,68682.38
35631,Private Job,57018.74
30370,Self-Employed,85971.47
59337,Private Job,101195.97
81135,Private Job,118696.65
26866,Government Job,63137.86
99494,Government Job,75666.61
74273,Self-Employed,36078.89
39514,Private Job,64034.62
58638,Government Job,25814.31
17110,Government Job,74304.37
85692,Private Job,50177.17
48366,Private Job,40734.74
37373,Private Job,40791.87
13446,Private Job,84767.75
68311,Self-Employed,77832.66
14337,Private Job,73110.73
75427,Government Job,55821.29
21687,Self-Employed,49344.83
77535,Private Job,61047.86
66771,Self-Employed,58264.57
18518,Private Job,79102.92
39561,Self-Employed,84358.55
92764,Private Job,81792.41
56150,Self-Employed,71850.53
57120,Private Job,49731.9
60214,Private Job,71442.17
52259,Government Job,88005.74
43446,Private Job,72572.39
96331,Private Job,35368.64
88626,Private Job,74958.1
24005,Government Job,80643.48
55645,Private Job,70829.51
67054,Private Job,66538.53
73842,Private Job,38272.44
83766,Private Job,63902.41
21987,Private Job,63486.99
48030,Private Job,47881.67
88556,Private Job,31883.18
98510,Private Job,9509.79
77718,Private Job,51471.04
94024,Self-Employed,81165.9
42292,Private Job,72658.89
89019,Private Job,46609.33
32724,Private Job,36958.75
44613,Private Job,53095.8
68842,Government Job,71241.03
87710,Private Job,66799.5
46665,Private Job,78869.03
22035,Private Job,44002.57
23033,Private Job,55161.16
11154,Private Job,40693.4
27691,Private Job,72174.43
28893,Private Job,50623.23
70834,Self-Employed,51126.68
21753,Private Job,74698.39
95281,Private Job,69522.42
83068,Self-Employed,53779.59
90016,Government Job,47971.89
36244,Private Job,66991.11
21625,Government Job,82486.41
42936,Self-Employed,50900.41
44513,Private Job,27376.26
48739,Private Job,78607.28
28965,Private Job,35150.61
61381,Self-Employed,79991.13
15354,Private Job,155747.3
10295,Private Job,75602.2
24957,Self-Employed,65240.77
72647,Private Job,76600.55
69559,Private Job,40846.86
38814,Private Job,173551.22
46542,Private Job,3060285.47
25267,Self-Employed,77205.81
40891,Private Job,59259.61
42529,Self-Employed,35806.64
99865,Private Job,40528.03
14088,Private Job,73180.97
31129,Self-Employed,76406.32
46886,Private Job,78360.86
99694,Private Job,36247.62
63735,Private Job,80023.33
23439,Self-Employed,55122.75
29730,Private Job,85585.86
29090,Private Job,54063.87
41057,Private Job,40380.19
77392,Private Job,28646.17
82963,Government Job,65563.72
59675,Private Job,25304.47
34066,Private Job,75996.54
93095,Private Job,43957.28
98414,Private Job,65617.74
76140,Self-Employed,55483.25
25041,Private Job,65090.63
95793,Self-Employed,28243.89
66876,Private Job,37003.34
22684,Private Job,79489.14
22526,Self-Employed,50469.71
42650,Private Job,59486.39
40102,Government Job,52881.18
27860,Self-Employed,80559.87
33869,Private Job,37167.68
43805,Private Job,76173.5
61859,Government Job,28664.91
13071,Private Job,77295.63
58168,Private Job,121497.19
82974,Private Job,80078.35
89374,Private Job,73178.51
12833,Government Job,41904.66
29444,Private Job,31961.1
41725,Private Job,55552.3
59919,Private Job,65615.32
27760,Private Job,115029.74
42067,Private Job,74971.14
64095,Government Job,55861.3
19620,Private Job,58346.0
89518,Government Job,82099.81
57306,Self-Employed,27914.52
67666,Private Job,44455.45
52426,Private Job,51728.0
94428,Private Job,64010.16
82756,Private Job,30797.82
92586,Self-Employed,78366.2
91338,Self-Employed,110933.94
72243,Private Job,44300.9
48851,Private Job,36289.26
18743,Self-Employed,61082.54
91581,Self-Employed,33573.68
14230,Private Job,45133.67
18550,Private Job,77573.58
52572,Private Job,73150.39
36941,Self-Employed,42143.59
30218,Private Job,50602.78
81825,Private Job,55968.88
70036,Private Job,59587.91
63670,Private Job,43325.22
63572,Private Job,57580.11
90830,Self-Employed,72168.32
72262,Private Job,66844.85
31079,Private Job,83007.65
36060,Private Job,39557.45
16266,Private Job,66372.41
63254,Private Job,82931.16
81253,Private Job,30862.73
67833,Private Job,86001.48
24818,Private Job,59277.12
64832,Private Job,85047.9
37923,Private Job,28747.31
81233,Self-Employed,114871.89
93377,Self-Employed,47139.7
77500,Private Job,30184.97
45390,Private Job,60733.27
39245,Self-Employed,77016.34
66031,Private Job,39758.49
14382,Self-Employed,37458.8
48691,Self-Employed,57335.34
57586,Private Job,46678.28
71624,Private Job,75392.69
93660,Self-Employed,33171.83
71534,Private Job,80782.44
61197,Private Job,74455.14
40318,Private Job,25921.87
86607,Private Job,41985.62
22235,Private Job,80729.32
36446,Government Job,77167.47
65582,Self-Employed,55074.01
34008,Private Job,58386.76
28063,Private Job,29929.81
37389,Private Job,73788.4
79062,Private Job,29657.46
90519,Private Job,64277.98
54636,Self-Employed,31947.58
19482,Self-Employed,51454.88
40470,Private Job,46963.14
45164,Private Job,50303.84
86377,Private Job,1307431.3
83135,Private Job,60224.09
17208,Private Job,33563.35
86178,Private Job,38606.69
29209,Self-Employed,31433.94
85126,Private Job,64830.97
79197,Private Job,28231.03
56503,Government Job,65162.11
52023,Private Job,84352.37
38072,Private Job,79241.44
32652,Private Job,44899.05
40389,Private Job,38099.33
18854,Government Job,83580.27
95687,Private Job,52072.33
89666,Government Job,46496.55
46075,Private Job,87570.74
14205,Private Job,32689.39
65880,Self-Employed,138744.42
39115,Private Job,35160.38
35810,Private Job,70245.23
40097,Private Job,37285.56
68357,Private Job,35919.95
26527,Private Job,44656.25
76405,Private Job,80713.39
72917,Private Job,60951.32
17863,Private Job,72276.99
18543,Self-Employed,68852.92
64543,Private Job,82943.01
75852,Self-Employed,67114.61
18485,Private Job,32638.84
71633,Private Job,37327.57
99451,Self-Employed,67873.49
44877,Private Job,150336.54
55632,Government Job,38115.85
48757,Private Job,75427.07
78792,Private Job,78659.66
86419,Private Job,50277.98
44548,Private Job,48322.15
11670,Self-Employed,32367.5
27226,Private Job,82206.93
50111,Self-Employed,54713.09
17294,Self-Employed,68191.51
37986,Private Job,34618.56
57540,Private Job,57912.55
80289,Self-Employed,72407.49
63663,Self-Employed,61472.26
69973,Private Job,48171.27
44284,Private Job,62510.55
85447,Private Job,85729.08
68589,Private Job,66642.96
69109,Private Job,55690.41
13715,Government Job,77178.01
23974,Private Job,53722.1
84724,Private Job,52582.62
65083,Private Job,59006.69
72721,Private Job,44541.83
79009,Private Job,29359.16
23426,Private Job,48000.82
51370,Private Job,69552.63
19755,Private Job,119677.55
67082,Private Job,54741.32
25346,Self-Employed,77134.37
15879,Private Job,36112.85
39997,Private Job,38545.66
53517,Private Job,64302.93
66656,Self-Employed,74926.31
49424,Private Job,67426.04
21500,Private Job,3509612.16
13272,Government Job,52084.54
12300,Private Job,78878.18
24369,Private Job,66204.98
95527,Private Job,75924.03
63939,Private Job,80135.31
91870,Private Job,57326.08
25482,Government Job,60888.87
79684,Private Job,65680.22
29863,Self-Employed,84310.22
93373,Private Job,74165.44
55623,Self-Employed,27130.73
45940,Private Job,51181.25
51878,Private Job,77990.56
90619,Private Job,27218.83
63541,Self-Employed,63443.89
43698,Private Job,82645.31
21834,Private Job,44025.42
99124,Private Job,69051.61
85103,Private Job,44002.98
92486,Private Job,64042.78
16781,Private Job,82125.18
60088,Private Job,47506.08
39109,Private Job,83569.49
99097,Private Job,123869.97
57745,Private Job,48313.81
10581,Government Job,48903.25
88368,Private Job,71616.38
11447,Private Job,47010.74
85736,Private Job,44998.82
38818,Self-Employed,36321.64
57554,Self-Employed,30427.65
97888,Self-Employed,76097.48
13559,Private Job,54032.77
81357,Private Job,64712.95
64109,Private Job,54158.92
75423,Private Job,47832.09
64326,Private Job,49925.37
61079,Government Job,29843.9
20307,Self-Employed,66108.76
69833,Self-Employed,56248.56
35141,Private Job,29039.71
25165,Private Job,63340.71
51527,Private Job,37787.26
39522,Private Job,33445.44
28797,Government Job,84600.16
50011,Private Job,115799.3
98439,Private Job,29822.22
60732,Private Job,69522.99
93171,Private Job,303816.33
77020,Government Job,67517.29
44676,Private Job,56825.57
35781,Self-Employed,30211.72
96524,Private Job,42824.94
87781,Private Job,34838.19
19562,Government Job,84991.46
51208,Private Job,31042.14
99782,Self-Employed,25768.04
65461,Private Job,38349.48
64647,Private Job,72866.78
93381,Private Job,76479.43
10505,Self-Employed,67793.71
11285,Private Job,51429.72
67001,Government Job,73255.35
73841,Private Job,66303.49
91550,Private Job,85613.79
89474,Private Job,51789.99
41341,Private Job,36451.68
46954,Private Job,29050.49
81145,Self-Employed,63068.09
26276,Private Job,82008.14
15326,Private Job,72939.94
21643,Private Job,111047.81
43425,Private Job,69669.86
74244,Private Job,56573.45
10923,Private Job,35995.78
84831,Private Job,41731.56
37480,Private Job,42209.31
25808,Private Job,65566.39
48982,Private Job,77237.56
90242,Private Job,33349.93
80420,Private Job,27031.34
62663,Private Job,56201.41
66142,Self-Employed,79765.23
52329,Self-Employed,83632.81
56543,Government Job,54181.6
20774,Private Job,40235.58
74184,Government Job,71780.48
73911,Self-Employed,35329.51
86160,Government Job,75264.58
18667,Private Job,78023.18
75607,Private Job,43984.6
97940,Self-Employed,36187.76
88259,Private Job,31789.37
57100,Private Job,62201.86
49584,Private Job,84893.93
13218,Private Job,52278.47
64686,Private Job,41080.14
15488,Private Job,75483.78
44113,Private Job,68513.59
69760,Private Job,29506.2
91134,Private Job,40890.99
14207,Private Job,47761.52
28189,Private Job,38209.97
77387,Private Job,78857.19
21250,Government Job,36407.66
78574,Private Job,73377.1
61002,Private Job,70226.33
69122,Private Job,25740.06
37646,Self-Employed,42022.91
86748,Private Job,56152.42
35696,Private Job,38370.4
81129,Private Job,74895.73
92134,Private Job,33206.14
69929,Self-Employed,35162.98
44532,Self-Employed,60894.45
49655,Private Job,26434.73
60329,Private Job,85577.56
49326,Private Job,57348.95
89155,Private Job,64748.33
18950,Private Job,40417.46
99617,Private Job,83231.37
57426,Private Job,45395.5
32296,Private Job,116450.99
65706,Self-Employed,32797.98
52483,Private Job,52750.16
88024,Self-Employed,32764.6
56493,Government Job,83691.33
61103,Private Job,55804.27
12310,Government Job,138824.6
53376,Private Job,61614.06
34697,Private Job,54548.9
63388,Private Job,39193.35
30730,Self-Employed,35389.33
36050,Private Job,83892.99
73587,Private Job,44357.09
39758,Self-Employed,138791.38
88836,Private Job,28557.06
18784,Private Job,55785.86
58527,Government Job,155157.88
44509,Self-Employed,39887.14
35686,Self-Employed,68091.21
21446,Self-Employed,48054.36
98772,Private Job,81936.33
34043,Self-Employed,51570.64
52751,Private Job,66257.6
64825,Private Job,98546.09
38515,Private Job,76804.84
43568,Private Job,77676.29
33322,Self-Employed,58779.98
75321,Self-Employed,74017.23
53330,Private Job,40117.27
78763,Private Job,61743.86
43424,Private Job,27026.22
15065,Self-Employed,45364.41
57103,Government Job,176132.46
92955,Private Job,46094.08
22825,Private Job,78297.18
26873,Private Job,53889.99
18440,Private Job,70179.16
64719,Self-Employed,53739.05
29164,Private Job,44150.04
78407,Private Job,82308.42
78545,Private Job,63101.76
93323,Private Job,3783005.14
61250,Self-Employed,64103.62
29905,Private Job,54962.55
24697,Private Job,36329.64
97020,Private Job,75930.06
58644,Private Job,70045.84
12167,Private Job,48286.14
86538,Government Job,82152.29
61979,Private Job,135164.33
24536,Private Job,45978.27
22799,Private Job,27376.85
82365,Private Job,40915.56
82344,Private Job,47486.99
30291,Private Job,75031.46
10630,Self-Employed,73045.44
39693,Self-Employed,51379.05
29349,Private Job,67754.07
62914,Private Job,38929.22
79058,Private Job,79328.21
47469,Private Job,28743.8
79997,Self-Employed,49324.43
56777,Private Job,74368.64
53260,Private Job,56155.66
86611,Self-Employed,74637.08
88734,Self-Employed,35136.72
78859,Private Job,40366.61
41762,Private Job,165582.69
16071,Private Job,49335.0
26018,Private Job,77407.91
49878,Self-Employed,83386.68
95500,Self-Employed,28464.23
63190,Government Job,82363.6
51782,Private Job,67590.86
26156,Self-Employed,54515.02
16931,Private Job,39871.77
74517,Private Job,42312.64
80030,Private Job,65516.88
60246,Private Job,50646.76
55063,Government Job,26911.71
16177,Private Job,2679239.11
14673,Private Job,83931.42
68783,Private Job,65609.17
47334,Private Job,73133.13
97709,Private Job,64234.25
89032,Private Job,68546.89
44680,Self-Employed,27392.37
15554,Private Job,48741.2
51079,Private Job,82059.75
87636,Private Job,83374.51
84917,Self-Employed,81091.73
48722,Private Job,85924.44
83979,Private Job,29299.42
94979,Private Job,28887.13
81044,Private Job,81899.35
47765,Private Job,26855.07
97295,Government Job,78997.81
41685,Private Job,78422.76
88144,Private Job,58014.44
69284,Government Job,78702.1
74831,Private Job,66954.78
28466,Private Job,35463.24
46644,Private Job,76490.41
77235,Private Job,49462.78
43213,Private Job,38252.71
10474,Private Job,84606.2
36114,Self-Employed,66770.44
16321,Self-Employed,91794.08
76783,Private Job,36300.38
72122,Private Job,78100.53
42830,Private Job,75309.1
51805,Self-Employed,31287.14
93582,Private Job,32729.4
62493,Private Job,38648.0
96369,Government Job,79884.71
13221,Government Job,69238.73
73676,Self-Employed,79991.63
15762,Private Job,76531.24
80887,Government Job,57508.81
72268,Self-Employed,28107.39
38862,Private Job,68973.75
61443,Private Job,119935.89
88519,Private Job,62635.09
41265,Self-Employed,39165.11
91160,Private Job,81390.2
89572,Private Job,66905.69
33963,Private Job,73949.61
41039,Government Job,72342.78
25022,Private Job,32745.47
69845,Private Job,42055.85
83330,Private Job,71444.94
55505,Self-Employed,60597.87
31741,Private Job,154483.03
92865,Private Job,32620.01
29379,Government Job,50826.32
31808,Private Job,39589.38
34537,Self-Employed,70586.01
76243,Private Job,33394.63
40167,Private Job,62403.02
27549,Private Job,26713.64
65282,Private Job,67149.87
51419,Private Job,30451.13
47688,Private Job,32844.8
