citizenid,number_of_open_accounts,number_of_closed_accounts,total_loan_months,delinquent_months,total_dpd,enquiry_count,credit_utilization_ratio
76832,5.0,2.0,38.0,1.0,24.0,1.0,28.5
53213,5.0,2.0,22.0,0.0,27.0,1.0,36.64
32932,5.0,3.0,43.0,0.0,15.0,2.0,36.42
32833,3.0,1.0,68.0,1.0,10.0,0.0,37.96
37894,4.0,2.0,62.0,0.0,25.0,2.0,24.93
16315,2.0,1.0,20.0,0.0,27.0,2.0,46.76
48601,2.0,2.0,66.0,1.0,29.0,1.0,12.47
76658,4.0,2.0,48.0,1.0,26.0,1.0,34.04
82671,2.0,1.0,51.0,1.0,14.0,1.0,42.89
43188,6.0,7.0,120.0,10.0,313.0,5.0,78.91
99159,8.0,4.0,83.0,6.0,273.0,4.0,94.7
22243,5.0,1.0,62.0,0.0,5.0,0.0,49.3
44900,2.0,2.0,64.0,1.0,3.0,2.0,34.26
35635,4.0,3.0,43.0,0.0,29.0,1.0,35.46
22772,5.0,3.0,45.0,1.0,20.0,0.0,10.11
26372,3.0,2.0,41.0,0.0,9.0,0.0,37.71
49283,4.0,2.0,63.0,1.0,8.0,2.0,18.74
44702,2.0,1.0,35.0,1.0,18.0,2.0,20.77
74294,4.0,3.0,16.0,1.0,26.0,1.0,49.61
84383,3.0,3.0,73.0,1.0,9.0,2.0,17.11
68547,4.0,1.0,74.0,1.0,21.0,1.0,12.12
86585,4.0,2.0,53.0,1.0,24.0,2.0,44.85
78241,3.0,1.0,38.0,1.0,11.0,2.0,11.91
40400,5.0,1.0,28.0,0.0,14.0,2.0,32.36
34730,9.0,4.0,176.0,11.0,296.0,5.0,84.99
12849,2.0,2.0,33.0,0.0,1.0,0.0,26.91
11897,2.0,2.0,42.0,0.0,24.0,0.0,12.31
86705,3.0,2.0,72.0,1.0,12.0,1.0,35.47
24561,5.0,1.0,65.0,0.0,4.0,2.0,45.66
40637,5.0,2.0,26.0,0.0,12.0,1.0,29.26
76184,2.0,2.0,78.0,0.0,24.0,0.0,31.52
79025,4.0,2.0,66.0,1.0,13.0,1.0,41.72
44272,3.0,3.0,69.0,1.0,29.0,1.0,25.57
67075,4.0,3.0,67.0,0.0,1.0,2.0,35.11
37356,5.0,2.0,35.0,0.0,24.0,0.0,22.75
30267,4.0,3.0,74.0,1.0,17.0,0.0,20.23
77860,3.0,1.0,24.0,1.0,25.0,2.0,34.77
46482,2.0,1.0,18.0,0.0,14.0,2.0,29.18
36164,3.0,3.0,41.0,0.0,27.0,0.0,42.96
22042,10.0,2.0,127.0,4.0,207.0,4.0,96.5
62141,6.0,7.0,121.0,4.0,235.0,5.0,95.15
82338,3.0,2.0,36.0,0.0,19.0,2.0,17.69
25824,4.0,3.0,70.0,1.0,14.0,2.0,22.08
65855,4.0,1.0,30.0,0.0,23.0,2.0,14.11
20020,2.0,3.0,79.0,0.0,16.0,1.0,19.96
16685,10.0,5.0,97.0,5.0,251.0,8.0,95.54
97367,5.0,3.0,24.0,0.0,29.0,0.0,29.76
88575,2.0,3.0,32.0,0.0,23.0,0.0,14.53
32225,2.0,1.0,76.0,0.0,11.0,2.0,37.38
47870,6.0,5.0,100.0,5.0,200.0,5.0,85.39
81004,3.0,1.0,31.0,1.0,19.0,0.0,47.03
57144,10.0,5.0,70.0,4.0,93.0,8.0,85.4
95358,3.0,1.0,72.0,1.0,19.0,1.0,23.54
37936,3.0,2.0,73.0,1.0,28.0,1.0,22.81
13840,2.0,2.0,41.0,0.0,11.0,2.0,12.71
24806,5.0,2.0,63.0,0.0,27.0,1.0,14.15
53650,3.0,3.0,36.0,0.0,22.0,1.0,39.77
65848,6.0,4.0,82.0,8.0,226.0,5.0,79.37
36642,2.0,3.0,22.0,1.0,7.0,0.0,10.28
46920,5.0,1.0,28.0,0.0,13.0,1.0,14.87
33843,3.0,3.0,47.0,1.0,23.0,2.0,23.53
20241,5.0,3.0,47.0,0.0,16.0,0.0,29.23
64408,2.0,3.0,51.0,0.0,20.0,1.0,29.59
18776,3.0,1.0,66.0,0.0,13.0,2.0,37.55
65146,2.0,2.0,51.0,0.0,11.0,2.0,40.03
13724,3.0,2.0,31.0,1.0,13.0,2.0,17.55
41840,2.0,1.0,53.0,0.0,11.0,0.0,18.46
84076,5.0,3.0,31.0,1.0,11.0,0.0,23.07
84223,2.0,2.0,25.0,0.0,9.0,1.0,37.06
40660,4.0,2.0,32.0,1.0,9.0,0.0,17.55
11470,4.0,1.0,36.0,0.0,0.0,0.0,43.51
70255,5.0,1.0,66.0,0.0,10.0,0.0,42.23
39976,5.0,3.0,18.0,1.0,16.0,0.0,11.55
73406,4.0,1.0,46.0,1.0,20.0,0.0,48.71
84177,5.0,1.0,22.0,0.0,4.0,1.0,22.7
13913,2.0,1.0,31.0,1.0,22.0,0.0,29.65
12826,4.0,2.0,52.0,1.0,12.0,2.0,19.53
18428,2.0,1.0,75.0,0.0,20.0,1.0,10.84
99394,3.0,2.0,36.0,1.0,22.0,2.0,11.33
64980,6.0,5.0,174.0,8.0,289.0,9.0,75.08
65882,2.0,2.0,21.0,0.0,12.0,1.0,34.57
70755,5.0,3.0,41.0,0.0,2.0,1.0,33.17
41200,11.0,7.0,99.0,9.0,183.0,7.0,92.95
67934,2.0,3.0,79.0,1.0,10.0,1.0,25.07
59142,2.0,2.0,35.0,0.0,15.0,0.0,27.08
59586,2.0,3.0,47.0,0.0,27.0,1.0,16.28
92769,3.0,1.0,25.0,0.0,2.0,0.0,47.02
74728,4.0,3.0,66.0,0.0,21.0,2.0,25.84
95347,3.0,2.0,82.0,0.0,22.0,0.0,32.85
60619,5.0,3.0,44.0,0.0,5.0,2.0,13.16
20081,5.0,2.0,48.0,1.0,21.0,0.0,24.12
77748,2.0,2.0,15.0,0.0,26.0,1.0,37.1
58729,5.0,3.0,64.0,1.0,10.0,1.0,28.66
42490,4.0,1.0,14.0,0.0,5.0,2.0,29.36
69343,3.0,3.0,39.0,0.0,28.0,1.0,45.26
75579,2.0,1.0,14.0,0.0,23.0,2.0,21.11
42763,4.0,2.0,49.0,0.0,3.0,2.0,29.24
46073,5.0,3.0,51.0,0.0,19.0,0.0,49.01
56536,3.0,3.0,26.0,1.0,3.0,1.0,14.12
26188,2.0,1.0,83.0,1.0,5.0,1.0,13.55
58810,4.0,2.0,50.0,1.0,29.0,2.0,37.92
45134,5.0,3.0,39.0,0.0,15.0,2.0,42.63
61527,2.0,2.0,64.0,0.0,17.0,1.0,17.52
13735,5.0,3.0,47.0,1.0,21.0,1.0,19.86
61140,4.0,3.0,80.0,0.0,28.0,0.0,42.31
54341,5.0,2.0,12.0,1.0,10.0,1.0,34.61
85820,3.0,2.0,57.0,1.0,18.0,2.0,40.36
54359,3.0,3.0,38.0,0.0,23.0,2.0,12.41
83742,5.0,1.0,39.0,0.0,9.0,2.0,41.77
18365,5.0,1.0,23.0,0.0,25.0,2.0,46.27
99776,3.0,1.0,34.0,1.0,8.0,1.0,45.59
46047,3.0,1.0,79.0,0.0,17.0,1.0,15.87
80065,2.0,2.0,63.0,0.0,11.0,1.0,28.6
24785,2.0,1.0,40.0,1.0,10.0,1.0,31.64
62322,9.0,2.0,134.0,6.0,276.0,6.0,75.88
31111,2.0,2.0,22.0,0.0,23.0,2.0,20.24
40010,11.0,4.0,97.0,9.0,136.0,7.0,99.81
43082,4.0,2.0,32.0,0.0,1.0,0.0,18.58
90443,2.0,2.0,52.0,1.0,20.0,0.0,21.17
42885,5.0,3.0,16.0,0.0,9.0,0.0,38.48
20026,4.0,3.0,67.0,1.0,20.0,2.0,48.9
13482,2.0,3.0,37.0,0.0,4.0,0.0,24.41
42269,8.0,2.0,146.0,6.0,351.0,5.0,98.73
33186,5.0,2.0,51.0,0.0,20.0,0.0,40.19
93246,3.0,3.0,33.0,0.0,6.0,1.0,45.61
39869,2.0,2.0,46.0,0.0,17.0,1.0,34.61
80541,4.0,3.0,60.0,0.0,29.0,0.0,11.8
81948,2.0,3.0,25.0,1.0,28.0,0.0,17.12
48016,2.0,3.0,50.0,1.0,24.0,1.0,17.2
68088,2.0,3.0,28.0,0.0,29.0,0.0,23.06
74594,5.0,3.0,58.0,1.0,2.0,0.0,10.83
35636,11.0,5.0,97.0,5.0,146.0,6.0,98.75
21306,4.0,1.0,81.0,0.0,22.0,2.0,36.57
96064,4.0,3.0,46.0,1.0,11.0,2.0,19.11
25726,4.0,1.0,27.0,0.0,10.0,2.0,19.94
13701,2.0,1.0,33.0,1.0,19.0,2.0,47.01
62067,3.0,1.0,35.0,1.0,20.0,1.0,32.48
89792,4.0,1.0,18.0,1.0,11.0,1.0,38.12
51195,5.0,3.0,29.0,0.0,22.0,1.0,42.41
47858,3.0,1.0,71.0,0.0,10.0,0.0,25.9
73510,2.0,2.0,35.0,0.0,5.0,1.0,16.0
50336,3.0,3.0,82.0,1.0,11.0,2.0,23.91
68573,4.0,3.0,15.0,1.0,26.0,1.0,18.0
44625,4.0,3.0,37.0,1.0,19.0,2.0,44.7
26534,3.0,2.0,63.0,1.0,20.0,1.0,34.45
88007,2.0,1.0,40.0,1.0,14.0,2.0,21.72
19736,5.0,2.0,30.0,0.0,20.0,2.0,43.45
68802,3.0,1.0,69.0,1.0,6.0,2.0,34.18
34926,3.0,1.0,74.0,0.0,29.0,0.0,13.06
61637,2.0,2.0,57.0,0.0,13.0,0.0,38.66
34643,4.0,2.0,39.0,1.0,7.0,2.0,43.99
25244,2.0,2.0,58.0,1.0,14.0,2.0,21.73
11870,4.0,3.0,18.0,0.0,17.0,2.0,49.09
71651,3.0,2.0,23.0,1.0,21.0,2.0,33.98
20925,2.0,2.0,71.0,1.0,25.0,1.0,36.02
51981,2.0,2.0,54.0,0.0,19.0,0.0,10.79
67460,6.0,6.0,137.0,4.0,194.0,9.0,83.77
91852,4.0,2.0,33.0,0.0,4.0,0.0,25.0
16942,5.0,3.0,83.0,1.0,21.0,0.0,13.52
79830,9.0,7.0,62.0,11.0,234.0,9.0,76.84
22038,5.0,2.0,40.0,1.0,3.0,1.0,28.72
46470,11.0,3.0,176.0,10.0,199.0,7.0,86.36
59425,2.0,3.0,58.0,0.0,23.0,0.0,11.64
45246,3.0,2.0,21.0,0.0,29.0,1.0,14.59
21567,5.0,2.0,12.0,0.0,15.0,0.0,13.74
66474,5.0,3.0,78.0,0.0,21.0,2.0,46.15
55327,2.0,2.0,78.0,1.0,3.0,0.0,47.71
70729,5.0,3.0,13.0,0.0,11.0,0.0,25.39
36845,5.0,3.0,56.0,1.0,18.0,2.0,15.99
92232,5.0,2.0,61.0,1.0,10.0,1.0,31.43
74069,3.0,1.0,30.0,1.0,16.0,2.0,43.06
61078,4.0,2.0,12.0,1.0,11.0,0.0,35.11
20464,4.0,3.0,30.0,0.0,5.0,2.0,38.9
38035,3.0,3.0,79.0,0.0,28.0,0.0,22.98
61376,3.0,3.0,31.0,1.0,27.0,0.0,40.53
88461,7.0,4.0,64.0,8.0,224.0,8.0,83.53
21749,3.0,2.0,19.0,1.0,0.0,1.0,25.93
75608,5.0,1.0,47.0,1.0,24.0,1.0,15.8
89383,5.0,1.0,22.0,1.0,24.0,1.0,44.49
73938,5.0,1.0,23.0,1.0,8.0,2.0,28.28
81110,5.0,1.0,59.0,1.0,17.0,0.0,47.75
25146,3.0,2.0,80.0,0.0,11.0,1.0,49.65
90725,7.0,6.0,68.0,10.0,155.0,5.0,94.26
67646,4.0,1.0,83.0,0.0,23.0,0.0,30.83
48236,2.0,1.0,33.0,0.0,9.0,2.0,10.02
28813,3.0,2.0,68.0,1.0,29.0,2.0,34.78
94620,5.0,3.0,75.0,0.0,4.0,1.0,29.82
69128,3.0,3.0,52.0,0.0,6.0,2.0,20.21
85990,3.0,2.0,62.0,1.0,23.0,2.0,31.49
22298,4.0,1.0,25.0,1.0,7.0,1.0,46.64
98034,5.0,3.0,50.0,1.0,21.0,0.0,22.28
59398,5.0,3.0,31.0,1.0,17.0,2.0,48.57
19080,3.0,2.0,66.0,1.0,28.0,0.0,21.06
97770,3.0,1.0,19.0,1.0,21.0,1.0,41.23
51487,5.0,3.0,41.0,0.0,8.0,2.0,22.16
29582,5.0,2.0,62.0,1.0,21.0,0.0,33.86
54075,3.0,1.0,82.0,1.0,21.0,2.0,39.78
22760,5.0,2.0,48.0,0.0,21.0,2.0,49.22
75239,9.0,5.0,76.0,6.0,333.0,9.0,88.99
97106,3.0,2.0,69.0,0.0,14.0,0.0,15.76
28219,3.0,3.0,59.0,1.0,5.0,2.0,11.85
77026,3.0,1.0,25.0,1.0,19.0,1.0,11.25
71853,3.0,1.0,20.0,0.0,9.0,0.0,36.78
72298,2.0,1.0,81.0,1.0,2.0,1.0,46.22
44410,2.0,1.0,16.0,1.0,26.0,2.0,44.73
85440,5.0,1.0,57.0,0.0,0.0,0.0,28.55
75581,5.0,3.0,35.0,0.0,20.0,2.0,30.69
11763,11.0,6.0,82.0,9.0,175.0,7.0,85.25
54402,2.0,1.0,61.0,1.0,18.0,2.0,24.12
57827,3.0,3.0,33.0,0.0,4.0,1.0,31.06
61015,4.0,3.0,15.0,0.0,19.0,1.0,36.4
35623,3.0,2.0,44.0,0.0,28.0,0.0,48.13
21977,4.0,2.0,65.0,1.0,6.0,1.0,11.8
99633,4.0,1.0,48.0,1.0,1.0,0.0,19.24
30306,3.0,2.0,75.0,0.0,26.0,2.0,19.33
19611,3.0,2.0,15.0,1.0,4.0,1.0,43.48
76838,4.0,1.0,19.0,0.0,10.0,1.0,30.24
13350,3.0,3.0,78.0,0.0,23.0,2.0,33.81
71936,3.0,2.0,35.0,0.0,23.0,1.0,37.62
33546,4.0,2.0,12.0,0.0,1.0,1.0,34.62
87171,3.0,3.0,31.0,0.0,13.0,2.0,26.52
89689,6.0,3.0,75.0,10.0,240.0,6.0,98.83
32373,4.0,1.0,53.0,0.0,29.0,1.0,10.66
77597,3.0,2.0,23.0,1.0,8.0,0.0,24.04
79584,4.0,1.0,82.0,0.0,1.0,2.0,47.2
54432,3.0,2.0,52.0,1.0,1.0,2.0,33.81
63930,4.0,1.0,76.0,0.0,1.0,2.0,42.16
23039,4.0,3.0,76.0,1.0,19.0,0.0,28.03
83465,5.0,3.0,53.0,1.0,8.0,1.0,21.3
46266,5.0,3.0,78.0,0.0,15.0,0.0,36.78
35026,9.0,3.0,151.0,9.0,159.0,9.0,81.52
20992,5.0,3.0,54.0,1.0,13.0,0.0,44.73
60213,2.0,3.0,68.0,1.0,16.0,1.0,12.07
12499,5.0,3.0,41.0,1.0,6.0,2.0,18.54
80852,3.0,2.0,27.0,1.0,7.0,2.0,27.66
23238,5.0,2.0,53.0,0.0,1.0,0.0,25.85
31843,3.0,1.0,48.0,1.0,25.0,1.0,46.81
45471,9.0,2.0,68.0,9.0,297.0,4.0,77.97
30657,2.0,2.0,58.0,0.0,14.0,0.0,22.93
33781,5.0,3.0,17.0,1.0,14.0,1.0,11.11
27967,5.0,2.0,42.0,0.0,2.0,2.0,47.01
24545,3.0,2.0,54.0,1.0,28.0,1.0,12.41
17467,2.0,3.0,28.0,0.0,29.0,1.0,34.74
39946,2.0,1.0,82.0,0.0,20.0,0.0,36.82
47127,2.0,1.0,79.0,0.0,26.0,2.0,10.09
33381,11.0,5.0,117.0,6.0,163.0,9.0,95.67
55566,5.0,3.0,49.0,1.0,4.0,1.0,32.11
65493,4.0,3.0,12.0,0.0,13.0,1.0,42.59
83163,3.0,1.0,14.0,1.0,9.0,1.0,46.95
74532,2.0,3.0,29.0,1.0,21.0,2.0,36.5
32957,5.0,3.0,81.0,1.0,7.0,1.0,33.58
55666,2.0,1.0,74.0,0.0,22.0,2.0,47.32
99529,4.0,3.0,53.0,0.0,29.0,2.0,27.21
52921,2.0,1.0,68.0,0.0,29.0,0.0,37.19
76094,5.0,2.0,40.0,0.0,16.0,0.0,26.97
78969,2.0,3.0,33.0,0.0,4.0,1.0,22.0
35541,2.0,1.0,69.0,0.0,20.0,2.0,45.43
20855,2.0,1.0,30.0,1.0,16.0,1.0,26.37
52404,11.0,6.0,70.0,7.0,346.0,5.0,79.37
60821,5.0,1.0,12.0,1.0,2.0,1.0,14.45
95884,2.0,1.0,70.0,1.0,8.0,1.0,17.9
21983,4.0,1.0,23.0,1.0,5.0,0.0,38.0
93452,3.0,1.0,74.0,1.0,7.0,1.0,47.48
50932,2.0,1.0,49.0,1.0,28.0,2.0,16.18
10822,4.0,3.0,26.0,0.0,23.0,2.0,41.68
90049,3.0,1.0,34.0,0.0,11.0,1.0,31.86
59848,3.0,1.0,81.0,0.0,12.0,1.0,48.53
79232,8.0,3.0,164.0,6.0,182.0,4.0,97.62
84749,3.0,2.0,76.0,0.0,5.0,1.0,18.92
16288,4.0,1.0,59.0,1.0,6.0,2.0,25.18
22514,11.0,3.0,98.0,6.0,204.0,4.0,99.34
95792,2.0,1.0,40.0,1.0,2.0,0.0,13.61
44213,4.0,1.0,14.0,0.0,6.0,0.0,25.73
53273,5.0,1.0,54.0,1.0,6.0,1.0,30.83
88201,5.0,1.0,36.0,0.0,7.0,2.0,38.51
74278,6.0,6.0,86.0,8.0,338.0,5.0,79.72
46521,5.0,2.0,17.0,0.0,10.0,0.0,38.94
63646,2.0,2.0,76.0,1.0,4.0,1.0,32.93
93125,2.0,2.0,60.0,1.0,17.0,2.0,43.82
63530,4.0,2.0,76.0,1.0,20.0,0.0,22.18
29440,9.0,7.0,93.0,11.0,245.0,9.0,88.18
10161,5.0,1.0,81.0,0.0,6.0,1.0,37.97
26423,5.0,3.0,63.0,1.0,21.0,1.0,26.59
56948,4.0,1.0,69.0,0.0,17.0,2.0,41.3
97493,6.0,3.0,168.0,10.0,229.0,5.0,77.84
81003,5.0,1.0,33.0,1.0,23.0,0.0,28.4
53926,3.0,1.0,74.0,0.0,3.0,1.0,43.07
93853,2.0,3.0,30.0,1.0,18.0,0.0,27.95
75761,4.0,1.0,31.0,1.0,25.0,2.0,10.46
63661,2.0,1.0,15.0,1.0,28.0,1.0,49.21
90547,5.0,1.0,53.0,1.0,9.0,0.0,17.49
72431,2.0,2.0,31.0,1.0,13.0,2.0,23.92
22608,3.0,2.0,28.0,1.0,13.0,1.0,19.3
33370,4.0,3.0,67.0,0.0,25.0,2.0,15.72
65594,5.0,3.0,71.0,0.0,11.0,1.0,28.59
55458,4.0,2.0,70.0,1.0,15.0,1.0,10.38
87441,2.0,1.0,37.0,1.0,4.0,1.0,36.67
32986,3.0,2.0,46.0,0.0,8.0,2.0,38.75
23572,4.0,3.0,21.0,0.0,12.0,1.0,28.79
97444,8.0,3.0,62.0,7.0,315.0,5.0,91.18
24019,3.0,3.0,14.0,1.0,24.0,2.0,24.03
23154,4.0,1.0,73.0,1.0,17.0,2.0,42.14
88403,4.0,1.0,24.0,1.0,1.0,1.0,15.38
37761,9.0,5.0,122.0,7.0,340.0,8.0,92.9
25204,2.0,3.0,77.0,0.0,15.0,0.0,39.11
80083,5.0,2.0,28.0,1.0,10.0,1.0,10.96
52763,3.0,3.0,56.0,0.0,10.0,2.0,28.01
44305,2.0,1.0,49.0,0.0,4.0,0.0,43.94
20474,5.0,1.0,58.0,1.0,22.0,2.0,29.66
12563,3.0,2.0,26.0,0.0,21.0,2.0,32.36
95214,4.0,1.0,75.0,0.0,12.0,2.0,21.17
62895,3.0,1.0,31.0,0.0,8.0,2.0,45.26
56795,2.0,2.0,17.0,0.0,16.0,2.0,34.7
70715,5.0,3.0,16.0,0.0,13.0,1.0,38.91
41294,3.0,2.0,47.0,0.0,16.0,1.0,42.98
14456,3.0,2.0,56.0,1.0,19.0,0.0,18.71
58579,3.0,2.0,33.0,0.0,14.0,1.0,39.07
71641,6.0,3.0,169.0,10.0,206.0,4.0,87.93
22582,2.0,2.0,78.0,1.0,22.0,2.0,23.59
59132,2.0,1.0,78.0,0.0,17.0,1.0,31.92
96915,4.0,1.0,38.0,1.0,5.0,1.0,30.0
34396,5.0,1.0,29.0,1.0,11.0,2.0,17.59
29892,10.0,3.0,138.0,10.0,329.0,7.0,81.19
33334,2.0,1.0,55.0,0.0,12.0,0.0,37.59
45029,5.0,3.0,16.0,1.0,1.0,2.0,14.52
94855,3.0,2.0,74.0,1.0,25.0,0.0,12.42
98014,4.0,2.0,26.0,1.0,25.0,1.0,16.76
37469,2.0,2.0,73.0,0.0,1.0,1.0,27.18
65135,3.0,3.0,24.0,1.0,5.0,0.0,36.88
92461,5.0,3.0,68.0,1.0,20.0,0.0,23.97
56409,4.0,2.0,18.0,1.0,24.0,2.0,45.82
32269,5.0,2.0,52.0,1.0,8.0,1.0,12.86
95960,3.0,2.0,33.0,0.0,0.0,0.0,32.6
58319,3.0,1.0,56.0,1.0,14.0,0.0,49.01
74076,2.0,2.0,37.0,0.0,10.0,1.0,11.97
95046,4.0,1.0,57.0,1.0,13.0,2.0,22.25
19774,4.0,1.0,70.0,0.0,8.0,0.0,16.91
14984,4.0,2.0,61.0,0.0,7.0,2.0,20.23
68544,2.0,3.0,54.0,0.0,14.0,1.0,32.02
93915,3.0,1.0,55.0,1.0,13.0,2.0,26.28
16279,4.0,3.0,69.0,0.0,16.0,1.0,37.85
82243,3.0,1.0,57.0,1.0,25.0,0.0,11.83
42724,5.0,3.0,27.0,1.0,24.0,0.0,15.93
38824,8.0,7.0,174.0,4.0,265.0,9.0,76.25
38531,2.0,1.0,20.0,1.0,13.0,0.0,15.7
78823,8.0,4.0,146.0,4.0,93.0,9.0,82.97
23080,4.0,2.0,68.0,1.0,4.0,1.0,13.24
63157,3.0,3.0,31.0,0.0,12.0,1.0,10.67
26644,3.0,2.0,67.0,1.0,8.0,0.0,37.69
71237,3.0,3.0,18.0,0.0,5.0,1.0,10.31
72277,4.0,1.0,59.0,0.0,0.0,2.0,44.28
39568,2.0,2.0,38.0,1.0,0.0,1.0,40.52
34096,5.0,3.0,56.0,1.0,1.0,1.0,39.27
43286,3.0,1.0,32.0,1.0,7.0,2.0,27.09
40528,5.0,1.0,65.0,1.0,23.0,2.0,20.75
19090,3.0,1.0,81.0,1.0,23.0,2.0,47.43
78266,2.0,2.0,15.0,0.0,16.0,2.0,22.27
98024,2.0,3.0,26.0,0.0,13.0,2.0,31.91
45000,5.0,2.0,40.0,0.0,22.0,0.0,33.18
33663,5.0,3.0,37.0,0.0,28.0,2.0,45.06
64988,5.0,2.0,40.0,0.0,29.0,0.0,46.53
15055,4.0,2.0,44.0,0.0,6.0,1.0,46.78
27201,5.0,1.0,78.0,1.0,19.0,1.0,24.24
44616,3.0,2.0,66.0,1.0,28.0,0.0,18.09
61221,4.0,3.0,44.0,1.0,17.0,0.0,34.59
85625,5.0,2.0,83.0,0.0,7.0,2.0,19.43
81782,4.0,1.0,70.0,1.0,26.0,1.0,27.34
20078,4.0,1.0,30.0,0.0,26.0,1.0,30.97
95971,4.0,2.0,25.0,0.0,29.0,0.0,21.5
83238,4.0,1.0,51.0,1.0,13.0,2.0,18.86
47186,3.0,1.0,58.0,0.0,19.0,0.0,19.16
54744,11.0,6.0,138.0,10.0,267.0,9.0,75.75
30368,5.0,1.0,26.0,0.0,10.0,1.0,25.64
51040,3.0,3.0,33.0,1.0,1.0,1.0,39.29
22520,2.0,3.0,23.0,0.0,24.0,0.0,39.48
59453,10.0,6.0,79.0,9.0,321.0,7.0,96.57
19932,5.0,1.0,50.0,0.0,13.0,2.0,27.12
29672,7.0,4.0,126.0,9.0,207.0,9.0,88.61
94617,2.0,1.0,42.0,1.0,0.0,0.0,14.77
84945,3.0,1.0,76.0,0.0,11.0,0.0,44.9
51231,2.0,1.0,24.0,0.0,15.0,0.0,47.9
22724,4.0,2.0,44.0,1.0,4.0,1.0,27.47
89446,3.0,1.0,22.0,0.0,8.0,2.0,15.99
83199,5.0,3.0,49.0,1.0,25.0,2.0,33.79
33144,5.0,3.0,24.0,1.0,8.0,2.0,43.88
19858,5.0,2.0,62.0,0.0,3.0,1.0,42.0
26930,2.0,2.0,51.0,1.0,27.0,1.0,30.18
97990,10.0,5.0,66.0,11.0,119.0,7.0,91.52
29064,3.0,1.0,56.0,1.0,20.0,2.0,30.88
71080,2.0,1.0,18.0,1.0,3.0,0.0,12.73
49964,4.0,2.0,82.0,0.0,8.0,2.0,24.24
20548,5.0,3.0,71.0,0.0,9.0,2.0,43.59
35742,2.0,2.0,75.0,0.0,21.0,2.0,23.53
84004,3.0,3.0,12.0,1.0,14.0,2.0,49.96
29376,3.0,3.0,24.0,0.0,17.0,0.0,17.52
34138,3.0,2.0,21.0,1.0,4.0,1.0,15.86
61839,5.0,3.0,44.0,1.0,25.0,0.0,16.37
25901,5.0,2.0,57.0,1.0,12.0,2.0,17.23
55753,2.0,2.0,62.0,0.0,13.0,1.0,33.21
18230,3.0,2.0,80.0,1.0,18.0,1.0,41.43
56448,3.0,1.0,41.0,0.0,29.0,1.0,16.8
57490,7.0,2.0,110.0,7.0,274.0,4.0,76.71
47445,5.0,3.0,21.0,1.0,7.0,1.0,16.92
46552,4.0,1.0,74.0,1.0,15.0,1.0,39.4
34164,2.0,3.0,59.0,1.0,28.0,2.0,25.95
44412,5.0,2.0,68.0,0.0,25.0,2.0,41.06
83367,3.0,2.0,20.0,1.0,28.0,1.0,13.23
98998,5.0,3.0,15.0,0.0,22.0,1.0,13.48
12780,3.0,2.0,64.0,0.0,9.0,1.0,10.15
38447,5.0,2.0,31.0,0.0,2.0,1.0,11.97
10601,4.0,3.0,27.0,0.0,24.0,0.0,49.58
33957,6.0,5.0,176.0,10.0,180.0,7.0,93.88
50402,4.0,2.0,24.0,1.0,4.0,2.0,19.98
68517,2.0,2.0,58.0,0.0,0.0,2.0,42.59
98099,3.0,3.0,45.0,0.0,18.0,1.0,10.33
52091,4.0,3.0,13.0,0.0,28.0,2.0,25.52
22274,2.0,1.0,65.0,0.0,8.0,0.0,27.86
81965,3.0,1.0,48.0,1.0,6.0,2.0,27.7
68757,4.0,1.0,70.0,1.0,14.0,0.0,16.12
42042,2.0,1.0,61.0,1.0,25.0,0.0,14.57
82964,2.0,1.0,13.0,0.0,23.0,1.0,37.41
58121,4.0,3.0,82.0,1.0,25.0,0.0,20.16
82239,3.0,2.0,36.0,0.0,1.0,1.0,46.83
11618,5.0,2.0,71.0,0.0,17.0,1.0,17.64
91548,2.0,1.0,13.0,0.0,2.0,0.0,33.68
19403,5.0,3.0,59.0,1.0,11.0,1.0,27.17
66110,5.0,2.0,35.0,1.0,20.0,0.0,13.0
46457,4.0,3.0,80.0,1.0,20.0,2.0,32.1
79454,4.0,2.0,74.0,1.0,2.0,1.0,27.24
39053,5.0,1.0,54.0,1.0,14.0,1.0,16.2
23551,3.0,3.0,78.0,1.0,23.0,1.0,30.33
36682,5.0,3.0,55.0,1.0,9.0,0.0,39.41
11472,2.0,3.0,23.0,1.0,23.0,2.0,38.37
37717,5.0,3.0,52.0,0.0,1.0,2.0,28.44
39706,3.0,2.0,72.0,0.0,9.0,1.0,31.99
98617,2.0,2.0,74.0,0.0,29.0,0.0,18.34
75668,3.0,3.0,19.0,1.0,23.0,0.0,34.87
90452,2.0,3.0,78.0,0.0,26.0,0.0,49.31
47847,5.0,2.0,40.0,1.0,19.0,0.0,47.43
70106,5.0,3.0,73.0,0.0,21.0,2.0,37.86
44491,3.0,3.0,31.0,0.0,17.0,2.0,13.95
88392,4.0,2.0,36.0,0.0,4.0,2.0,26.47
14065,2.0,3.0,45.0,1.0,13.0,0.0,28.64
44066,10.0,7.0,85.0,10.0,118.0,7.0,77.12
21757,4.0,2.0,72.0,0.0,9.0,1.0,23.24
40499,3.0,3.0,40.0,1.0,13.0,1.0,25.39
19276,2.0,3.0,19.0,0.0,1.0,1.0,44.47
61216,2.0,3.0,75.0,1.0,20.0,0.0,23.97
74519,2.0,2.0,78.0,1.0,27.0,0.0,22.89
